	Name	Categories	Extrainfo
Paul	Barson	Photography, Botanical, USA	
Bo	Bartlett	Painting, Oil, Portrait, Realism, USA	
Casey	Baugh	Painting, Oil, Portrait, USA	
Gifford	Beal	Painting, Watercolor, Landscape, USA	
Aubrey	Beardsley	Illustration, B&W, UK	
	Beatrix Potter	Illustration, Watercolor, Children's Book, UK	
	Beeple (Mike Winkelmann)	Concept Art, Sci-Fi, USA	
Zdzisław	Beksiński	Painting, Horror, Poland	
Hans	Bellmer	Photography, Visual Arts, Germany	
George Wesley	Bellows	Painting, Oil, Portrait, USA	
Ludwig	Bemelmans	Illustration, Watercolor, Gouache, Austria, USA	512px + Highres. Fix, high denoise
Alexandre	Benois	Painting, Oil, Watercolor, Russia	quite different, but maybe still useful
Earle K.	Bergey	Illustration, Painting, Cover Art, Pin-Ups, USA	
John	Berkey	Painting, Sci-Fi, Star Wars, USA	
Gian Lorenzo	Bernini	Sculpture, Marble, Painting, Baroque, Italy, 17th Century	also did paintings, but defaults to sculptures/statues
Elsa	Beskow	Illustration, Watercolor, Children's Book, Cover Art, Sweden	difficult to prompt
James	Bidgood	Movie Director, Photography, USA	
Szymon	Biernacki	Illustration, Animation, Character Design, Spain	
Albert	Bierstadt	Painting, Oil, Landscape, USA, 19th Century	
John Thomas	Biggers	Painting, Oil, Acrylic, Portrait, USA	
Enki	Bilal	Illustration, Comic, France	
Ivan	Bilibin	Illustration, Painting, Watercolor, Ink, Gouache, Art Nouveau, Russia	
Butcher	Billy	Illustration, Painting, Cover Art, Brazil	
Ed	Binkley	Illustration, Concept Art, Fantasy, Game Art, USA	
Elmer	Bischoff	Painting, Oil, Acrylic, Portrait, USA	
Simon	Bisley	Comic, UK	
Robert	Bissell	Painting, Oil, UK	
Mary	Blair	Illustration, Disney, USA	512px + Highres. Fix, DPM2, 40 Steps
William	Blake	Illustration, Painting, Watercolor, Engraving, Symbolism, Romanticism, UK, 18th Century	
Antoine	Blanchard	Painting, Oil, Cityscape, France	
John	Blanche	Illustration, Fantasy, Sci-Fi, Warhammer, UK	
Tim	Blandin	Concept Art, Sci-Fi	sparse info, deleted DeviantArt and ArtStation profiles
Neil	Blevins	Illustration, Concept Art, Sci-Fi, Game Art, USA	
Umberto	Boccioni	Painting, Oil, Portrait, Futurism, Italy	
Brian	Bolland	Illustration, Comic, DC Comics, Cover Art, UK	
Chesley	Bonestell	Illustration, Painting, Oil, Gouache, Sci-Fi, USA	
Olivier	Bonhomme	Illustration, France	
Pierre	Bonnard	Painting, Oil, Portrait, Landscape, Post-Impressionism, France, 19th Century	
Franklin	Booth	Illustration, Watercolor, Ink, USA	
Marius	Borgeaud	Painting, Oil, Portrait, Switzerland, France, 19th Century	
Matt	Bors	Illustration, Comic, USA	512px + Highres. Fix
Hieronymus	Bosch	Painting, Oil, Netherlands, 15th Century	
Sam	Bosma	Illustration, Comic, Graphic Novel, Cover Art, USA	
Ambrosius (the Elder)	Bosschaert	Painting, Oil, Still Life, Botanical, Flemish, 17th Century	
Johfra	Bosschart	Illustration, Painting, Surrealism, Netherlands	
	Botero	Painting, Oil, Colombia	
Sandro	Botticelli	Painting, Oil, Italy, 15th Century	
François	Boucher	Painting, Illustration, Engraving, Portrait, Rococo, France, 18th Century	512px + Highres. Fix, DPM2, 40 Steps
Charlie	Bowater	Illustration, Concept Art, Portrait, UK	
David Michael	Bowers	Illustration, Painting, Oil, Cover Art, Surrealism, USA	
Frank	Bowling	Painting, Acrylic, Expressionism, UK	
Thomas Shotter	Boys	Painting, Watercolor, Cityscape, UK	Thomas the Tank Engine likes to show up
Noah	Bradley	Concept Art, DnD, MTG, USA	
Frank	Bramley	Painting, Oil, UK, 19th Century	
Victor	Brauner	Painting, Oil, Surrealism, Romania,	
George B.	Bridgman	Painting, Landscape, Portrait, Canada	
Austin	Briggs	Illustration, Comic, Cartoon, USA	
Romero	Britto	Painting, Acrylic, Pop-Art, Brazil	
Glen	Brogan	Illustration, USA	512px + Highres. Fix, Euler A
Gerald	Brom	Illustration, Fantasy, Gothic, Horror, USA	
Ford Madox	Brown	Painting, Oil, Symbolism, Romanticism, UK, 19th Century	
Edward	Burne-Jones	Painting, Oil, Watercolor, Gouache, Stained Glass, Portrait, Mythology, UK, 19th Century	
Jim	Burns	Illustration, Painting, Acrylic, Sci-Fi, Cover Art, UK	
Gaston	Bussière	Illustration, Painting, Oil, Portrait, France, 19th Century	
Arnold	Böcklin	Painting, Oil, Portrait, Landscape, Symbolism, Switzerland, 19th Century	
Francis	Cadell	Painting, Oil, Portrait, Scotland, UK	512px + Highres. Fix
Paul	Cadmus	Painting, Oil, Tempera, Portrait, Nudity, USA	
Alexandre	Calame	Painting, Oil, Landscape, Romanticism, Switzerland, 19th Century	
Clyde	Caldwell	Illustration, Painting, Oil, Acrylic, Fantasy, Cover Art, USA	512px + Highres. Fix, DPM++ SDE Karras
Fred	Calleri	Painting, Oil, Portrait, USA	
Charles	Camoin	Painting, Oil, Portrait, France	
Colin	Campbell Cooper	Painting, Oil, Watercolor, Cityscape, USA	
Pascal	Campion	Illustration, Animation, France	
Milton	Caniff	Comic, B&W, USA	
Pablo	Carpio	Character Design, Concept Art, Game Art, Spain	
Michael	Carson	Painting, Oil, Portrait, USA	
Santiago	Caruso	Illustration, Concept Art, Cover Art, Gothic, Horror, Symbolism, Surrealism, Argentina	
Didier	Cassegrain	Illustration, Comic, France	
Alfred Joseph	Casson	Painting, Landscape, Oil, Canada	
Paul	Catherall	Illustration, Linocut, Print, Cover Art, Poster, UK	
Clint	Cearley	Illustration, Blizzard, DnD, MTG, USA	
Agnes (Silvia Pelissero)	Cecile	Illustration, Painting, Watercolor, Portrait, Italy	
Marc	Chagall	Painting, Cubism, Expressionism, Belarus, France	
John	Chamberlain	Sculpture, Pop-Art, USA	
Jean Siméon	Chardin	Painting, Oil, Still Life, Portrait, 18th Century, France	
Travis	Charest	Illustration, Comic, Ink, DC Comics, Canada	
Pierre Puvis de	Chavannes	Painting, Oil, Symbolism, France, 19th Century	
Hsiao-Ron	Cheng	Illustration, Portrait, Taiwan	
Yanjun	Cheng	Illustration, Portrait	DPM++ 2M Karras
Ivan	Chermayeff	Illustration, Graphic Design, Logo, UK, USA	
Michael	Cheval	Painting, Oil, Portrait, Surrealism, Russia, USA	512px + Highres. Fix, DPM++ 2M Karras, sometimes horses (cheval = french for horse)
Sandra	Chevrier	Painting, Acrylic, Portrait, Canada	
Dale	Chihuly	Sculpture, Glas, USA	
